City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Luganville,VU,80.94,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
424,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
425,Portland,US,85.93,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
434,Jaque,PA,78.6,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
437,Pishin,PK,80.69,overcast clouds,30.5803,66.9961,City Hotel Pishin
439,Tecoanapa,MX,79.68,overcast clouds,16.5167,-98.75,Hotel Manglares
442,Dano,BF,75.38,broken clouds,11.15,-3.0667,Auberge Phenix32-Dano
449,Seoul,KR,78.4,heavy intensity rain,37.5683,126.9778,LOTTE HOTEL SEOUL
451,Puerto Cabezas,NI,78.13,overcast clouds,14.0351,-83.3888,Cabaña Caribe
452,Bari,IT,78.19,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
453,Maningrida,AU,88.54,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
454,Pokhara,NP,80.01,light rain,28.2333,83.9833,OYO 170 Hotel View Point
455,Ishigaki,JP,89.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
456,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
459,Lake City,US,75.78,clear sky,30.1897,-82.6393,Ramada Limited Lake City
460,Daru,PG,81.16,clear sky,-9.0763,143.2092,Daru Lodge
463,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
464,Weligama,LK,79.7,overcast clouds,5.9667,80.4167,Weligama Bay Resort
469,Parrita,CR,77.52,overcast clouds,9.5201,-84.3225,Beso del Viento
470,Erzin,TR,76.05,overcast clouds,36.9559,36.2,Artemis Otel
472,Jiaocheng,CN,89.91,few clouds,24.6774,116.1389,Changtan Tourism Resort
474,Teknaf,BD,77.81,overcast clouds,20.8624,92.3058,Forestry Guesthouse
476,Ardesen,TR,75.72,scattered clouds,41.1911,40.9875,Green Suada Hotel
482,Padang,ID,82.45,few clouds,-0.9492,100.3543,Mercure Padang
495,Palmer,US,80.24,light rain,42.1584,-72.3287,Wedgewood Motel
496,Pondicherry,IN,82.96,overcast clouds,11.93,79.83,Villa Shanti for food lovers
499,Tateyama,JP,85.93,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
500,Eureka,US,75.74,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
502,Cabo San Lucas,MX,86.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
505,Isahaya,JP,88.93,broken clouds,32.8411,130.0431,Hotel Route Inn Isahaya
508,Bainbridge,US,89.15,few clouds,47.6262,-122.5212,Bainbridge Island Country Inn
509,Makat,KZ,82.29,clear sky,47.6469,53.3463,Umit
512,Pipri,IN,75.52,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
516,Digha,IN,83.89,light rain,21.6833,87.55,Khoniker Atithi
517,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
518,Masallatah,LY,75.13,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
520,Dogondoutchi,NE,79.38,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
521,Gilgit,PK,83.43,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
522,Bombay,IN,76.98,overcast clouds,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
524,Bella Vista,US,85.1,light rain,36.4295,-94.2316,The Inn at Bella Vista
526,Tikapur,NP,88.5,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
528,Bethel,US,80.96,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
535,Kavaratti,IN,80.82,light rain,10.5669,72.642,Green leaf
545,Alyangula,AU,79.88,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
553,Velur,IN,82.35,overcast clouds,12.9333,79.1333,NSR Lodge A/C
554,Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
557,Jacmel,HT,84.04,broken clouds,18.2342,-72.5347,Historic Hotel Florita
558,Makakilo City,US,88.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
559,Zalantun,CN,76.21,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
561,Honiara,SB,84.34,broken clouds,-9.4333,159.95,Heritage Park Hotel
564,Shenjiamen,CN,84.16,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
567,Calella,ES,82.92,clear sky,41.618,2.6678,Hotel htop Calella Palace Family & SPA
569,Hobyo,SO,75.34,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
574,Ormara,PK,81.86,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
575,Mantua,IT,78.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
577,Luang Prabang,LA,80.56,mist,19.8856,102.1347,The Apsara
578,Norsup,VU,81.41,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
582,Buala,SB,84.76,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
585,Aureliana,PH,83.03,overcast clouds,10.8885,121.978,Villa Gloria Beach Resort
586,Miram Shah,PK,83.46,clear sky,33.0086,70.0697,Bachelor Hostel
588,Kyaukse,MM,79.95,light rain,21.6,96.1333,Shwe Thit Sar Guesthouse
589,Kurchum,KZ,79.14,overcast clouds,48.5722,83.6542,"""Kneda"" Hotel"
590,Jalu,LY,78.87,clear sky,29.0331,21.5482,صاحبة الفخامة
593,Labrea,BR,76.57,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
594,Astakos,GR,77.88,clear sky,38.5356,21.0814,Stratos S.A.
599,Tikamgarh,IN,84.42,overcast clouds,24.745,78.8333,White House
600,Sattahip,TH,81.99,broken clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
605,Salinopolis,BR,78.85,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
606,Quartucciu,IT,79.0,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
608,Kousseri,CM,76.5,broken clouds,12.0769,15.0306,Le Pilotis
610,Port Washington,US,89.2,broken clouds,40.8257,-73.6982,"The Roslyn, Tapestry Collection by Hilton"
613,Isla Aguada,MX,81.79,broken clouds,18.7833,-91.4667,Freedom Shores
615,Lazaro Cardenas,MX,80.06,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
616,Winkler,CA,77.22,clear sky,49.1817,-97.941,Quality Inn & Suites
617,Majene,ID,76.24,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
622,Ceres,US,85.95,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
624,Bud,US,79.05,clear sky,39.447,-86.1758,Ted McQuinn Trust
627,Tezu,IN,81.27,overcast clouds,27.9167,96.1667,Circuit House
629,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
630,Liberal,US,82.54,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
631,Carmen,MX,81.99,broken clouds,18.6333,-91.8333,Hotel Lossandes
632,Wakkanai,JP,78.78,scattered clouds,45.4094,141.6739,Hyōsetsu-sō
635,Huron,US,75.78,moderate rain,41.1501,-82.5499,Meadow Brook Mobile Estates
639,Rosetta,EG,75.99,clear sky,31.4044,30.4164,Green Valley
645,Purpe,RU,79.43,clear sky,64.4803,76.6897,"Gostinnitsa ""Valentina"""
650,Pathein,MM,75.63,overcast clouds,16.7833,94.7333,Pathein Hotel
651,Waingapu,ID,86.5,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
655,Kuala Perlis,MY,85.98,overcast clouds,6.4,100.1333,D'View Hotel & Guest Houses
657,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
660,Wahiawa,US,86.32,clear sky,21.5028,-158.0236,The Inn At Schofield
661,Nabire,ID,76.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
